"Var1" "Var2" "type"
"587" "663" "718" "SG"
"588" "673" "718" "SG"
"589" "737" "718" "SG"
"590" "679" "718" "SG"
"591" "666" "718" "SG"
"592" "695" "718" "SG"
"593" "685" "718" "SG"
"594" "771" "718" "SG"
"595" "715" "718" "SG"
"596" "765" "718" "SG"
"597" "667" "718" "SG"
"598" "775" "718" "SG"
"599" "761" "718" "SG"
"600" "689" "718" "SG"
"601" "773" "718" "SG"
"602" "659" "718" "SG"
"603" "671" "718" "SG"
"604" "774" "718" "SG"
"605" "731" "718" "SG"
"606" "692" "718" "SG"
"607" "706" "718" "SG"
"608" "793" "718" "SG"
"609" "785" "718" "SG"
"610" "772" "718" "SG"
"611" "754" "718" "SG"
"612" "730" "718" "SG"
"613" "760" "718" "SG"
"614" "790" "718" "SG"
"615" "794" "718" "SG"
"616" "788" "718" "SG"
"617" "783" "718" "SG"
"618" "784" "718" "SG"
"619" "776" "718" "SG"
"620" "712" "718" "SG"
"621" "709" "718" "SG"
"622" "723" "718" "SG"
"623" "724" "718" "SG"
"624" "780" "718" "SG"
"625" "657" "708" "SG"
"626" "675" "708" "SG"
"627" "678" "708" "SG"
"628" "651" "708" "SG"
"629" "669" "708" "SG"
"630" "702" "708" "SG"
"631" "700" "708" "SG"
"632" "704" "708" "SG"
"633" "697" "708" "SG"
"634" "720" "708" "SG"
"635" "665" "708" "SG"
"636" "653" "708" "SG"
"637" "661" "708" "SG"
"638" "682" "708" "SG"
"639" "663" "708" "SG"
"640" "673" "708" "SG"
"641" "737" "708" "SG"
"642" "679" "708" "SG"
"643" "666" "708" "SG"
"644" "695" "708" "SG"
"645" "685" "708" "SG"
"646" "771" "708" "SG"
"647" "715" "708" "SG"
"648" "765" "708" "SG"
"649" "667" "708" "SG"
"650" "775" "708" "SG"
"651" "761" "708" "SG"
"652" "689" "708" "SG"
"653" "773" "708" "SG"
"654" "659" "708" "SG"
"655" "671" "708" "SG"
"656" "774" "708" "SG"
"657" "731" "708" "SG"
"658" "692" "708" "SG"
"659" "706" "708" "SG"
"660" "793" "708" "SG"
"661" "785" "708" "SG"
"662" "772" "708" "SG"
"663" "754" "708" "SG"
"664" "730" "708" "SG"
"665" "760" "708" "SG"
"666" "790" "708" "SG"
"667" "794" "708" "SG"
"668" "788" "708" "SG"
"669" "783" "708" "SG"
"670" "784" "708" "SG"
"671" "776" "708" "SG"
